text,label
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
Happy birthday! Hope you have a great day.,Personal
"Hey, are we still meeting for lunch tomorrow?",Personal
Did you see the new movie that came out?,Personal
Mom's birthday party is this Saturday.,Personal
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
John viewed your LinkedIn profile.,Social
New notification from Facebook.,Social
You have a new follower on Twitter.,Social
Someone tagged you in a photo.,Social
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Your Amazon order has shipped.,Updates
Your flight is confirmed for tomorrow morning.,Updates
GitHub Action passed.,Updates
Your password was changed.,Updates
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
Limited time offer 90% off all designer items,Promotion
Summer sale starts now!,Promotion
Exclusive discount for you.,Promotion
Buy one get one free at our store!,Promotion
